                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.3392,                 3.4362,                 1.2091,                 1.2113,                 0.5557,                0.31752,                0.33439,                0.20101,                0.43974,                0.24759,                0.20578,                 0.0798,                 1.0961,                 3.8093,                 1.2004,                 1.0687,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.2763,                 3.4325,                 1.1725,                  1.228,                0.53769,                0.31009,                0.32229,                0.19051,                0.43061,                0.24879,                0.20566,                0.08025,                 1.1266,                 3.8439,                 1.2173,                 1.0993,              0.0006768,              0.0006768,              0.0006768
                     62,                  1.312,                 3.3981,                  1.193,                  1.215,                0.55735,                0.31973,                0.33669,                0.19765,                0.47172,                0.24437,                0.21164,                0.08109,                 1.1181,                 3.7672,                 1.2476,                 1.0919,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.2813,                 3.4184,                 1.1806,                 1.2254,                0.54647,                0.30808,                0.32479,                0.19329,                0.42691,                0.24618,                0.20897,                0.08173,                 1.1111,                 3.8242,                   1.26,                 1.0965,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.3251,                 3.3586,                  1.187,                 1.2128,                0.55168,                0.32496,                0.33685,                0.20315,                0.44048,                0.25377,                0.20764,                0.08006,                 1.0842,                  3.847,                 1.2057,                 1.0675,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.2856,                 3.3756,                 1.1892,                 1.2145,                0.55499,                0.31752,                  0.332,                0.19888,                0.44317,                0.24719,                0.20528,                0.08071,                 1.1054,                 3.9323,                  1.245,                 1.0986,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.3097,                  3.362,                 1.1617,                  1.207,                0.53785,                0.31953,                0.33298,                0.19904,                0.44339,                0.25301,                0.20987,                0.08108,                 1.0939,                 3.7962,                 1.2382,                 1.0815,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.2726,                 3.3517,                 1.1538,                 1.2117,                0.56133,                0.32255,                0.33974,                0.20149,                0.46076,                0.24477,                0.20996,                0.08024,                 1.0949,                 3.8108,                 1.2026,                 1.0741,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.2633,                 3.3315,                 1.1623,                  1.212,                0.55091,                0.32416,                0.33672,                0.19912,                0.44667,                0.25864,                0.22202,                0.08518,                 1.0766,                 3.8004,                 1.2324,                  1.061,             0.00056128,             0.00056128,             0.00056128
                     69,                  1.319,                 3.3608,                 1.1777,                 1.2078,                0.55654,                0.32114,                0.33488,                0.20185,                0.46274,                0.25543,                0.21616,                0.08418,                 1.1076,                 3.7799,                 1.2181,                 1.0984,             0.00054478,             0.00054478,             0.00054478
                     70,                   1.27,                 3.3344,                 1.1572,                 1.2106,                0.57942,                0.30908,                0.33428,                0.20447,                0.46072,                 0.2438,                0.20379,                0.07918,                 1.0848,                 3.8183,                 1.1649,                 1.0545,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.2915,                 3.2943,                 1.1443,                 1.1879,                0.57492,                0.32094,                0.33811,                0.19801,                0.45848,                0.24842,                0.21584,                 0.0819,                 1.1128,                  3.815,                 1.2609,                 1.0756,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.2569,                 3.3341,                 1.1502,                 1.2026,                0.59481,                0.31471,                 0.3383,                0.20189,                0.47213,                0.24397,                0.20702,                0.07982,                 1.0971,                 3.7902,                 1.2553,                  1.069,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.2742,                 3.3368,                 1.1502,                 1.2014,                0.56592,                0.32235,                 0.3401,                0.20243,                0.46351,                0.25523,                 0.2164,                0.08386,                 1.0797,                 3.7963,                 1.2102,                  1.074,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.2762,                 3.2739,                 1.1522,                 1.1892,                 0.5739,                0.32476,                0.34483,                0.20808,                0.46098,                0.25281,                0.21788,                0.08257,                 1.0561,                 3.7854,                  1.178,                 1.0581,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.2589,                 3.2989,                 1.1219,                 1.1915,                0.56775,                0.32576,                0.33921,                0.20626,                0.45939,                0.24839,                0.20676,                 0.0792,                 1.0489,                 3.8363,                 1.1902,                 1.0471,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.2865,                 3.3381,                  1.159,                 1.2019,                0.55231,                0.32206,                0.33936,                0.20485,                0.43874,                0.24879,                0.21153,                0.08234,                 1.1095,                 3.8064,                  1.233,                  1.087,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.2749,                 3.2698,                 1.1463,                 1.1958,                0.56301,                0.32536,                0.34264,                0.20879,                0.47351,                0.25603,                0.21951,                 0.0854,                  1.066,                  3.788,                 1.1524,                 1.0506,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.2666,                 3.2698,                 1.1374,                 1.1956,                0.56638,                0.33074,                0.34729,                0.20654,                0.45982,                 0.2502,                0.21553,                0.08367,                 1.0784,                  3.826,                 1.2358,                 1.0646,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.2587,                 3.2626,                 1.1302,                 1.1919,                0.55499,                0.32582,                0.33718,                 0.2001,                0.45649,                0.25543,                0.21935,                0.08429,                 1.1183,                 3.8428,                 1.2623,                 1.0942,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.2496,                 3.2995,                 1.1175,                 1.1883,                0.57311,                0.32456,                0.34561,                 0.2084,                0.46193,                0.25462,                0.21492,                0.08327,                 1.0827,                 3.8032,                 1.1965,                 1.0693,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.2451,                 3.3056,                 1.1254,                 1.2011,                0.55969,                0.31953,                0.33816,                0.20168,                0.45747,                0.24337,                0.21326,                0.08526,                  1.082,                 3.8219,                 1.2251,                 1.0671,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.2731,                 3.2532,                 1.1325,                 1.1892,                0.55611,                0.32375,                0.33947,                0.20454,                0.44872,                0.25362,                0.21318,                0.08268,                  1.071,                  3.798,                 1.1768,                 1.0563,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.2537,                 3.2508,                 1.1178,                 1.1938,                0.56797,                0.32524,                 0.3449,                0.20909,                0.45683,                0.24795,                0.21403,                0.08338,                 1.0877,                 3.8545,                 1.1671,                 1.0703,             0.00031373,             0.00031373,             0.00031373
                     84,                   1.23,                 3.2437,                 1.1043,                 1.1967,                 0.5787,                0.31672,                0.34008,                 0.2062,                0.45826,                 0.2508,                0.21726,                0.08617,                 1.1033,                 3.7928,                 1.1942,                 1.0795,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.2451,                 3.2625,                 1.1104,                 1.1855,                0.58326,                0.32134,                0.34337,                0.20731,                 0.4713,                0.25422,                0.21729,                0.08275,                 1.0756,                 3.7943,                 1.1902,                 1.0626,             0.00028072,             0.00028072,             0.00028072
